user_id,album_id,rating
72,68bTL3nrVFkd3CexwKcMxH,5
361,1rIieOzLW0HIqXuBzIkvou,2
100,603B7XcezOR2e8OLRElxzQ,3
129,4ESi4HDqot0m1EnE46mjgi,3
307,1IvVH8GppK7oTIVI9UYndi,5
480,1pnTmxdr0AGnNgnLIrcnJO,4
433,69zcmore0dQsBpjrh1dFNu,3
378,2wuaLlrdZwmlDuZnaa10WZ,5
327,06eO3skNobG6zOM74Ijd9t,5
434,7CVbwpHskEu4mCgpqRHr4v,3
377,4jyDiRaXamZWZoSsLTPdLz,4
42,2cATXQ4FcVdeCazguR6ur2,2
343,40lrWN20m9AdddsfW0B6mt,5
167,3quLix9sJY2Qfr5fGHnuCv,5
427,7p6c2Vz98CEISvTD0jx8iy,3
283,1MxT8hE5Ziom6XEtR3yMBY,1
191,3kKlAA6fpPNfP1nqhDmJr8,3
409,1iTZSMXT7PDWF6boReAVho,2
6,1zR41QZQb59eoFM3gz5wCN,1
367,3Z9QtCtdVb10YEnP9VOxrq,5
441,5CtzqkgLEHFTDDMvXzi6l6,3
394,2wKxdVfCrFApbIkhAPW1jh,3
279,3PvOdS1DUvipRkkdWjogUl,4
390,5aKfxgvlxebcZ33AD2XNvM,3
175,0Y2URp8ZtzaqItxBwzl4x1,2
373,3q7y3RZUuMhm4CaswW1shr,3
74,7DJy2vr76l1KTWQSC7ayps,5
100,42Yajhzi7i8E0UPdZPGmQM,4
276,12j4QI9QjM8yoTkrU2SAkz,3
46,6hjUsYGn63m7vb86If8GJQ,2
107,4ybTX4E4uCaJmvr3maPEcS,2
301,18fbW8rKsy7dhro1SYMdrD,2
109,54U5iedwVjcW2uSnTtsyRC,2
490,18poGirIbFmUMgVi9B04kJ,3
141,57keWEU7Lm6Slx8L0zu2Zl,2
475,6RHFoZBRWfL8XFiAwtlqsi,4
124,6xv5q4ReJUenvdu8z7KtSH,4
98,02VfokmqlidwP1Sm5KV4uo,5
192,4dMsrjNnrTuI4jPynYva6n,1
298,5AjkCa4D8AYgxe0BGvt24f,3
373,4uV9oBFG04EhG1aeOR10qr,2
85,7I7I61WtVFKvsZePjcGydF,2
314,3Zsr8uXpKNGzfYGAVAJbHH,4
142,4PbzFrk2647LPCTVVYrz57,1
471,4rUByuKE27ptQmXgfOxbfY,1
112,41jbUkMPvARDfkPu2E5eR2,4
161,6rwXACyVdkzz4arvfJYf3g,1
90,4AylaPEFxVC3TYHFIj4EZE,1
373,42fN9XjuaMoanMQtkbWC4j,3
77,0YINvuASsBdyxJTTyMJn0C,4
93,40lrWN20m9AdddsfW0B6mt,1
306,5kK5KFNQtnycwdoANABpng,3
358,6tXcsXUTvxfYDUGQdISdFY,1
384,3KOeWK44fBI3sgOkeOSkcj,2
188,7uDlhmV81Lei9imEtQNCp2,5
141,1ED3WiWk7Na3PhstZpT9vK,1
353,7HRatwhxbSd41x3oYG0et6,1
72,5lpBcApJaDMCDtQIzL9EA1,3
23,69yN6vzFqFqSdJ1H4gWC66,5
325,0271RxQUOvGoRMM5ST0qCt,3
207,1BiCpFIZNYSwWQSJ9zUvBY,4
333,1PjByOaG69FDFbcsB9rFjs,4
398,4dKfTtKiAywV1XRWAQbbl7,4
99,0bO3zJgW6J2LWrXyYCfF0F,1
13,4KsQjcbd90RxbtfsrJv4n3,2
473,1JhFuPYn58Vs5kGosZF09p,1
162,5WJjto5Sh249N2YaOGOzcG,1
286,1CmiJTcWkYABT9nEQgdwbX,4
112,0Oc1xP5G5rDxtSzyGGJGKr,2
212,1axFvMrQOgVYBi6loM8QPw,2
278,7KBRda32pFITpcxTgm9pG3,1
217,1caCExdEZZ75bcYvdMy4Nz,1
56,4ESi4HDqot0m1EnE46mjgi,1
340,0acXgtzcEpAX17aeQ4sSQe,2
308,0ftWiYaFzeRNjLYSVCNzUQ,4
148,1o5eNSOrcwNt2yAF98dumh,5
41,5pBPsfrUAzh076UFAHhOgO,3
146,0jpAnlrHeF5LyBZLgOigLT,1
213,5qmbmkENHzygJrqaqyiFbI,1
40,4fsPuBEKvVoC1PlMXPMgFj,1
401,4ozuF4mAgTMA4zMpp6PsmZ,3
356,20VKAKbajMnv5XbFh2w3dd,5
422,1sR5L4E4c5aIf2xhj7hKbD,4
170,23SA8ZTz4cITN8s36FJFGr,2
99,3iuZWlXkatwhFMs6rKhNMB,5
328,0Jei4cVdA7NcTnQC9aS3Lz,5
53,0H5Cjuw7Y936wy5sUDT0ce,3
281,3HOZVsIkV7AcnSd6JZ0BOy,5
290,0RkRGsYaZNtu8Gc0eRgQu8,3
348,04JBA388s4JuKaKB6tAbHY,5
411,6S92snOjPlNOmjwqftASyh,1
357,76mgh6DIo0um8g237IXMDO,2
348,6PS3ZGs00WyX7aQf9uAa6E,4
222,7GwfLPL0yBPjgTwkczDKwq,5
232,7LdCAaKLMIn4BOU7P6YTA2,3
438,0YvBnGcwEPXFAlMcQTH3Xa,4
478,0ZRQcd8leQ7CFrryUiJdm0,1
242,0D5fprVcUWx3EWsDnrsKXc,4
248,0GFlaK0Czy455cd46zEqYb,5
177,21CDpCcVVprx5hHDapBGyk,4
245,1iKEKN9aRw5V7xZb29S2ou,4
101,2cwnYb2V5tzmGmSfz8OwTh,2
250,3FEvQTCdqfuVWvOTIJuZLw,4
423,4FDtOENoh6iYR24cjZ0xfO,1
201,09OT1xCnhqK9jSnmOiZY1O,4
210,1g6tEaZeMyPMwPpumotdP5,2
75,6QfZxzaoAAIuWFnq1Rp1mn,1
249,3454izQ28ogfvz2sFwUQHt,4
370,4rKHOyYIV1M2R3Ua4mLICI,5
337,1p4HLCuq1PNADVUW1pMnxw,2
277,4cWRQMCgEADZHa6sy4y8LN,1
85,5bF9Y9D1b7uLJOinLOk1gX,1
384,4rSzi5W6X3qAdvyCKUyLnD,5
155,1i8UGSugkg9ldVbyX8HwEX,3
340,2d4laDYF9tHCtzlG1pyLHF,2
309,5soZcX86CkYOoZh9TkbQN1,4
106,5HvTihxciEqHW7k5lN6Eid,5
320,60425LSNBY5fwzZ47XMyVM,5
147,7uprXYZmuRtzYQWoLU0F88,2
215,4GO0YBRvIsxWBtARR1Z5WB,4
247,7qXNqb1grVFG2vE6qnjIiS,3
239,3jX6X0nH8HajRjYzhjJRDT,4
438,603B7XcezOR2e8OLRElxzQ,5
180,0H5Cjuw7Y936wy5sUDT0ce,5
162,3wlM5Xg6Y31oVHyunXuH7D,3
51,08ipIpB56Ur94ypj5ClM6P,2
40,0gEG2jHgOHTq95rqe8Z7cl,5
414,0FBDnFxewyMy2OlpEDVN4z,1
174,0z8rHDGHN4zqg8E7TCX5MZ,3
171,4xYRqZYaX5Rtaomp3yMLBN,5
63,1swaJ9PEVzZ5v9Bxk4kXyD,4
311,4MFpgNKwIdKKnoXSmdogHH,1
362,4lOFaJcRa4UnUShmYgazlZ,2
444,0sXl9quTAM2a9E4N3IPOuO,3
126,6R6i1v34l2xKf0zgVS5A5q,2
112,7azvA2706RknsCKR74mYKV,3
295,4dmSOl6DD58N4qNY85gMYg,4
102,0pHwjLvylq9ZcSeoKUEtkV,1
347,7mLDlzmikhVbcMcey6eQbJ,3
272,2cPCT33Dbv1CKZVJWnyLBF,3
330,3C6MWh0SEjlmltqo8Ocs62,4
163,4QwHAHQefRWy1EhR09zQB0,4
378,2XYQyMXvYn11rHvjyO56yg,5
208,6kbRBuyG4PgJelsd7x39rv,2
45,5YouEmWgCt15QTYqOVkved,3
146,4X7STaEalIbUGV4JPgAz5S,3
